aan de grond;abnormal
verkrampt;isolated
verkwisten;isolation
verlamd;issue
verlammen;issues
verlammend;itch
verlangen;itching
verlangend;itchy
verlaten;jabber
verlatenheid;jaded
verlegen;jagged
verlegenheid;jam
verleiden;jarring
verleiding;jaundiced
verliefd;jealous
verlies;jealously
verliest;jealousness
verliezen;jealousy
verliezer;jeer
verliezers;jeering
verlopen;jeeringly
verloren;jeers
verlorenheden;jeopardize
vermanen;jeopardy
vermanend;jerk
vermijden;jerky
vermindering;jitter
verminken;jitters
verminking;jittery
vermoeden;jobless
vermoedens;joke
vermoeid;joker
vermoeidheid;jolt
vermoeien;judder
vermoeiend;juddering
vermoorden;judders
vernederaar;jumpy
vernederd;junk
vernederen;junky
vernederend;junkyard
vernedering;jutter
vernield;jutters
vernietigd;kaput
vernietigen;kill
vernietigend;killed
vernietiger;killer
vernietiging;killing
verongelukt;killjoy
verontreinigd;kills
verontreinigen;knave
verontreiniging;knife
verontreinigt;knock
verontrust;knotted
verontrusten;kook
verontrustend;kooky
verontschuldigers;lack
verontwaardigd;lackadaisical
verontwaardiging;lacked
verontwaardigt;lackey
veroordeelbaar;lackeys
veroordeeld;lacking
veroordeelt;lackluster
veroordelbaar;lacks
veroordelen;laconic
veroordeling;lag
veroorzaakt;lagged
verouderd;lagging
verpest;laggy
verplaatsen;lags
verplaatst;laid-off
verpletterd;lambast
verpletteren;lambaste
verpletterend;lame
verplettert;lame-duck
verraad;lament
verraadplegers;lamentable
verraadt;lamentably
verradelijk;languid
verraden;languish
verradend;languor
verrader;languorous
verraderlijk;languorously
verrot;lanky
verrotten;lapse
verschrikkelijk;lapsed
verschrikkelijkheid;lapses
verschrikken;lascivious
verschrikt;last-ditch
verschrompelen;latency
verslaafd;laughable
verslaafden;laughably
verslavend;laughingstock
verslechteren;lawbreaker
verslechterend;lawbreaking
verslechtering;lawless
versleten;lawlessness
versnipperd;layoff
verspild;layoff-happy
verspillend;lazy
verspilling;leak
versteend;leakage
verstenen;leakages
verstikken;leaking
verstikkend;leaks
verstoken;leaky
verstoord;lech
verstopping;lecher
verstoppingen;lecherous
verstopt;lechery
verstoren;leech
verstorend;leer
verstoring;leery
verstrikt;left-leaning
verstrooid;lemon
versuft;lengthy
verteren;less-developed
vertraagd;lesser-known
vertragen;letch
vertragend;lethal
vertraging;lethargic
vertragingen;lethargy
vertrappen;lewd
vertroebelen;lewdly
vervaagd;lewdness
vervaagt;liability
vervagen;liable
verval;liar
vervalgraad;liars
vervallen;licentious
vervalsen;licentiously
vervalsing;licentiousness
vervalst;lie
verveeld;lied
verveelt;lier
vervelen;lies
vervelend;lifeless
verveling;life-threatening
vervloekt;limit
vervloekte;limitation
vervolgen;limitations
vervolging;limited
vervormd;limits
vervormen;limp
vervormingen;listless
vervormt;litigious
vervreemd;little-known
vervreemden;livid
vervreemding;lividly
vervuilen;loath
vervuilend;loathe
vervuiler;loathing
vervuilers;loathly
vervuiling;loathsome
verwaand;loathsomely
verwaandheid;lone
verwaarloosd;loneliness
verwaarlozen;lonely
verward;loner
verwarren;lonesome
verwarrend;longing
verwarring;longingly
verwarringen;long-time
verwart;long-winded
verwatering;loophole
verwelken;loopholes
verwerpelijk;loose
verwerpen;loot
verwerping;lorn
verwerpt;lose
verwijt;loser
verwijtbaar;losers
verwijten;loses
verwijtend;losing
verwikkeld;loss
verwoest;losses
verwoesten;lost
verwoestend;loud
verwoesting;louder
verwonden;lousy
verzadiging;loveless
verzaken;lovelorn
verzakt;lowly
verzengend;low-rated
verzet;ludicrous
verzinnen;ludicrously
verzonken;lugubrious
verzwakken;lukewarm
verzwakkend;lull
verzwakking;lumpy
vettig;lunatic
vies;lunaticism
viesheid;lurch
viezer;lure
vijand;lurid
vijanden;lurk
vijandig;lurking
vijandigheden;lying
vijandigheid;macabre
vijandschap;mad
virulent;madden
virulentie;maddening
virus;maddeningly
vleien;madder
vleier;madly
vleierij;madman
vleiers;madness
vlek;maladjusted
vlekken;maladjustment
vlekkerig;malady
vloek;malaise
vloeken;malcontent
vloekend;malcontented
vloekt;maledict
vlok;malevolence
vlooien;malevolent
vlot;malevolently
vlotte;malice
vluchten;malicious
vluchtend;maliciously
vluchtig;maliciousness
vluchtigheid;malign
vluchtte;malignant
vochtig;malodorous
volbloed;maltreatment
volkomen;mangle
volle;mangled
voorbedacht;mangles
voorgevoel;mangling
vooringenomen;mania
voorlopig;maniac
vooroordeel;maniacal
vooroordelen;manic
voortvluchtig;manipulate
voorzichtig;manipulation
voorzichtigheid;manipulative
vorst;manipulators
vreemd;marginal
vreemder;marginally
vreemdheden;martyrdom
vreemdheid;martyrdom-seeking
vreemdst;mashed
vreemdste;massacre
vreselijk;massacres
vreselijkheid;matte
vriendjespolitiek;mawkish
vruchteloos;mawkishly
vuil;mawkishness
vuilzak;meager
vuilzakken;meaningless
vuist;meanness
waanidee;measly
waanideeën;meddle
waanzin;meddlesome
waanzinnig;mediocre
waardeloos;mediocrity
waardeloosheid;melancholy
waardig;melodramatic
waarschuwen;melodramatically
waarschuwend;meltdown
waarschuwing;menace
walgelijk;menacing
walging;menacingly
wanbetaler;mendacious
wanbetaling;mendacity
wangedrag;menial
wanhoop;merciless
wanhoopstoestand;mercilessly
wanhopend;mess
wanhopig;messed
wankelde;messes
wankelen;messing
wankelend;messy
wanorde;midget
wanordelijk;miff
wantrouwen;militancy
wantrouwend;mindless
wapen;mindlessly
wartaal;mirage
wazig;mire
weeklagen;misalign
weerbarstig;misaligned
weerlegd;misaligns
weerleggen;misapprehend
weerleggend;misbecome
weerlegt;misbecoming
wees;misbegotten
weggelopen;misbehave
weglaten;misbehavior
weglating;miscalculate
weglopen;miscalculation
wegversperringen;miscellaneous
weigeren;mischief
weigering;mischievous
weigert;mischievously
weinig;misconception
wellust;misconceptions
wellusteling;miscreant
wellustig;miscreants
werkloos;misdirection
wetsovertreder;miser
wetsovertreding;miserable
wetteloos;miserableness
wetteloosheid;miserably
wiebelde;miseries
wiebelen;miserly
wiebelt;misery
wierook;misfit
wijdverbreid;misfortune
wild;misgiving
willekeurig;misgivings
windstilte;misguidance
wispelturig;misguide
wisselvallig;misguided
woede;mishandle
woedeaanval;mishap
woedend;misinform
woest;misinformed
woestijn;misinterpret
wolk;misjudge
wond;misjudgment
wonden;mislead
woordenwisseling;misleading
worstelde;misleadingly
worstelen;mislike
worstelt;mismanage
wraak;mispronounce
wraakzuchtig;mispronounced
wraakzuchtigheid;mispronounces
wreder;misread
wreed;misreading
wreedheden;misrepresent
wreedheid;misrepresentation
wreedst;miss
wreken;missed
wrijving;misses
wrijvingen;misstatement
wrok;mist
wrokgevoelens;mistake
wurgen;mistaken
xic;mistakenly
zak;mistakes
zeepachtig;mistified
zelfcoup;mistress
zelfdienend;mistrust
zelfgenoegzaam;mistrustful
zelfkritiek;mistrustfully
zelfmoord;mists
zelfvernedering;misunderstand
zelfvernietigend;misunderstanding
zelfvoldaan;misunderstandings
zelfzuchtig;misunderstood
zeurderig;misuse
zeuren;moan
zeurend;mobster
zich;mock
ziek;mocked
ziekelijk;mockeries
ziekte;mockery
zielig;mocking
zinken;mockingly
zinkend;mocks
zinloos;molest
zittend;molestation
zoemen;monotonous
zoemend;monotony
zombie;monster
zonde;monstrosities
zondebok;monstrosity
zondig;monstrous
zorg;monstrously
zorgen;moody
zuigachtig;moot
zuigen;mope
zuigt;morbid
zuur;morbidly
zwaar;mordant
zwaarder;mordantly
zwaarlijvig;moribund
zwaarlijvigheid;moron
zwaarmoedig;moronic
zwak;morons
zwakheden;mortification
zwakker;mortified
zwakte;mortify
zwakzinnig;mortifying
zwavel;motionless
zweepslagen;motley
zwelling;mourn
zwerver;mourner
zweterig;mournful
zwoegen;mournfully
;muddle
;muddy
;mudslinger
;mudslinging
;mulish
;multi-polarization
;mundane
;murder
;murderer
;murderous
;murderously
;murky
;muscle-flexing
;mushy
;musty
;mysterious
;mysteriously
;mystery
;mystify
;myth
;na
;nag
;nagging
;naive
;naively
;narrower
;nastily
;nastiness
;nasty
;naughty
;nauseate
;nauseates
;nauseating
;nauseatingly
;nebulous
;nebulously
;needless
;needlessly
;needy
;nefarious
;nefariously
;negate
;negation
;negative
;negatives
;negativity
;neglect
;neglected
;negligence
;negligent
;nemesis
;nepotism
;nervous
;nervously
;nervousness
;nettle
;nettlesome
;neurotic
;neurotically
;niggle
;niggles
;nightmare
;nightmarish
;nightmarishly
;nitpick
;nitpicking
;noise
;noises
;noisier
;noisy
;non-confidence
;nonexistent
;nonresponsive
;nonsense
;nosey
;notoriety
;notorious
;notoriously
;noxious
;nuisance
;numb
;obese
;object
;objection
;objectionable
;objections
;oblique
;obliterate
;obliterated
;oblivious
;obnoxious
;obnoxiously
;obscene
;obscenely
;obscenity
;obscure
;obscured
;obscures
;obscurity
;obsess
;obsessive
;obsessively
;obsessiveness
;obsolete
;obstacle
;obstinate
;obstinately
;obstruct
;obstructed
;obstructing
;obstruction
;obstructs
;obtrusive
;obtuse
;occlude
;occluded
;occludes
;occluding
;odd
;odder
;oddest
;oddities
;oddity
;oddly
;odor
;offence
;offend
;offender
;offending
;offenses
;offensive
;offensively
;offensiveness
;officious
;ominous
;ominously
;omission
;omit
;onerous
;onerously
;one-sided
;onslaught
;opinionated
;opponent
;opportunistic
;oppose
;opposition
;oppositions
;oppress
;oppression
;oppressive
;oppressively
;oppressiveness
;oppressors
;ordeal
;orphan
;ostracize
;outbreak
;outburst
;outbursts
;outcast
;outcry
;outlaw
;outmoded
;outrage
;outraged
;outrageous
;outrageously
;outrageousness
;outrages
;outsider
;overact
;overacted
;over-acted
;overawe
;over-awe
;overbalance
;overbalanced
;over-balanced
;overbearing
;overbearingly
;overblown
;overdo
;overdone
;overdue
;overemphasize
;overheat
;over-hyped
;overkill
;overloaded
;overlook
;overpaid
;overpayed
;overplay
;overpower
;overpriced
;over-priced
;overrated
;overreach
;overrun
;overshadow
;oversight
;oversights
;oversimplification
;oversimplified
;oversimplify
;oversize
;overstate
;overstated
;overstatement
;overstatements
;overstates
;overtaxed
;overthrow
;overthrows
;overturn
;over-valuation
;overweight
;overwhelm
;overwhelmed
;overwhelming
;overwhelmingly
;overwhelms
;overzealous
;overzealously
;overzelous
;pain
;painful
;painfull
;painfully
;pains
;pale
;pales
;paltry
;pan
;pander
;pandering
;panders
;panic
;panick
;panicked
;panicking
;panicky
;paralize
;paralyzed
;paranoia
;paranoid
;parasite
;pariah
;parody
;partiality
;partisan
;partisans
;passe
;passive
;passiveness
;pathetic
;pathetically
;patronize
;paucity
;payback
;peculiar
;peeve
;peeved
;peevish
;peevishly
;penalize
;perfidious
;perfidity
;perfunctory
;perilous
;perilously
;perish
;pernicious
;perplex
;perplexed
;perplexing
;perplexity
;persecute
;persecution
;pertinacious
;pertinaciously
;perturb
;perturbed
;pervasive
;perverse
;perversely
;perversion
;perversity
;pervert
;perverted
;perverts
;pessimism
;pessimistic
;pessimistically
;pest
;pestilent
;petrified
;petrify
;pettifog
;petty
;phobia
;phobic
;phony
;picket
;picketed
;picketing
;pickets
;picky
;pillage
;pillory
;pimple
;pinch
;pique
;pitiable
;pitiful
;pitifully
;pitiless
;pitilessly
;pittance
;pity
;plagiarize
;plague
;plasticky
;plaything
;plea
;pleas
;plebeian
;plight
;plot
;plotters
;ploy
;plunder
;plunderer
;pointless
;pointlessly
;poison
;poisonous
;poisonously
;pokey
;polarisation
;polemize
;pollute
;polluter
;polluters
;polution
;pompous
;poor
;poorer
;poorest
;poorly
;posturing
;pout
;poverty
;powerless
;prate
;pratfall
;prattle
;precarious
;precariously
;precipitate
;precipitous
;predatory
;predicament
;prejudge
;prejudice
;prejudices
;prejudicial
;premeditated
;preoccupy
;preposterous
;preposterously
;presumptuous
;presumptuously
;pretence
;pretend
;pretense
;pretentious
;pretentiously
;prevaricate
;pricey
;pricier
;prick
;prickle
;prickles
;prideful
;prik
;primitive
;prison
;prisoner
;problem
;problematic
;problems
;procrastinate
;procrastinates
;procrastination
;profane
;profanity
;prohibit
;prohibitive
;prohibitively
;proprietary
;prosecute
;protest
;protested
;protesting
;protests
;protracted
;provocation
;provocative
;provoke
;pry
;pugnacious
;pugnaciously
;pugnacity
;punch
;punish
;punishable
;punitive
;punk
;puny
;puppet
;puppets
;puzzled
;puzzlement
;puzzling
;quack
;qualm
;qualms
;quandary
;quarrel
;quarrellous
;quarrellously
;quarrels
;quarrelsome
;quash
;queer
;questionable
;quibble
;quibbles
;quitter
;rabid
;racism
;racist
;racists
;racy
;radical
;radicalization
;radically
;radicals
;rage
;ragged
;raging
;rail
;raked
;rampage
;rampant
;ramshackle
;rancor
;randomly
;rankle
;rant
;ranted
;ranting
;rantingly
;rants
;rape
;raped
;raping
;rascal
;rascals
;rash
;rattle
;rattled
;rattles
;ravage
;raving
;reactionary
;rebellious
;rebuff
;rebuke
;recalcitrant
;recant
;recession
;recessionary
;reckless
;recklessly
;recklessness
;recoil
;recourses
;redundancy
;redundant
;refusal
;refuse
;refused
;refuses
;refusing
;refutation
;refute
;refuted
;refutes
;refuting
;regress
;regression
;regressive
;regret
;regreted
;regretful
;regretfully
;regrets
;regrettable
;regrettably
;regretted
;reject
;rejected
;rejecting
;rejection
;rejects
;relapse
;relentless
;relentlessly
;relentlessness
;reluctance
;reluctant
;reluctantly
;remorse
;remorseful
;remorsefully
;remorseless
;remorselessly
;remorselessness
;renounce
;renunciation
;repel
;repetitive
;reprehensible
;reprehensibly
;reprehension
;reprehensive
;repress
;repression
;repressive
;reprimand
;reproach
;reproachful
;reprove
;reprovingly
;repudiate
;repudiation
;repugn
;repugnance
;repugnant
;repugnantly
;repulse
;repulsed
;repulsing
;repulsive
;repulsively
;repulsiveness
;resent
;resentful
;resentment
;resignation
;resigned
;resistance
;restless
;restlessness
;restrict
;restricted
;restriction
;restrictive
;resurgent
;retaliate
;retaliatory
;retard
;retarded
;retardedness
;retards
;reticent
;retract
;retreat
;retreated
;revenge
;revengeful
;revengefully
;revert
;revile
;reviled
;revoke
;revolt
;revolting
;revoltingly
;revulsion
;revulsive
;rhapsodize
;rhetoric
;rhetorical
;ricer
;ridicule
;ridicules
;ridiculous
;ridiculously
;rife
;rift
;rifts
;rigid
;rigidity
;rigidness
;rile
;riled
;rip
;ripoff
;rip-off
;ripped
;risk
;risks
;risky
;rival
;rivalry
;roadblocks
;rocky
;rogue
;rot
;rotten
;rough
;rubbish
;rude
;rue
;ruin
;ruined
;ruining
;ruinous
;ruins
;rumbling
;rumor
;rumors
;rumours
;rumple
;runaway
;run-down
;rupture
;rust
;rusts
;rusty
;ruthless
;ruthlessly
;ruthlessness
;sabotage
;sack
;sacrificed
;sad
;sadden
;sadly
;sadness
;sag
;sagged
;sagging
;saggy
;sags
;salacious
;sanctimonious
;sap
;sarcasm
;sarcastic
;sarcastically
;sardonic
;sardonically
;sass
;satirical
;satirize
;savage
;savaged
;savagery
;savages
;scaly
;scam
;scams
;scandal
;scandalize
;scandalized
;scandalous
;scandalously
;scandals
;scandel
;scandels
;scant
;scar
;scarce
;scarcely
;scarcity
;scare
;scared
;scarier
;scariest
;scarily
;scarred
;scars
;scary
;scathing
;scathingly
;sceptical
;scoff
;scoffingly
;scold
;scolded
;scolding
;scoldingly
;scorching
;scorchingly
;scorn
;scornful
;scornfully
;scoundrel
;scourge
;scowl
;scramble
;scrambled
;scrambles
;scrambling
;scrap
;scratch
;scratched
;scratches
;scratchy
;scream
;screech
;screwed
;screwed-up
;screw-up
;screwy
;scuff
;scuffs
;scum
;scummy
;second-tier
;secretive
;sedentary
;seedy
;seethe
;seething
;self-criticism
;self-defeating
;self-destructive
;self-humiliation
;self-interest
;selfinterested
;self-interested
;selfish
;selfishly
;selfishness
;self-serving
;senile
;sensationalize
;senseless
;senselessly
;seriousness
;sermonize
;servitude
;setback
;setbacks
;set-up
;sever
;severe
;severity
;shabby
;shadowy
;shady
;shake
;shaky
;shallow
;sham
;shambles
;shame
;shameful
;shamefully
;shamefulness
;shameless
;shamelessly
;shamelessness
;shark
;sharply
;shatter
;shimmer
;shimmy
;shipwreck
;shirk
;shirker
;shit
;shiver
;shock
;shocked
;shocking
;shockingly
;shoddy
;shortage
;shortchange
;shortcoming
;shortcomings
;short-lived
;shortness
;shortsighted
;shortsightedness
;shrew
;shriek
;shrill
;shrilly
;shrivel
;shroud
;shrouded
;shrug
;shun
;shunned
;sick
;sicken
;sickening
;sickeningly
;sickly
;sickness
;sidetrack
;sidetracked
;siege
;sillily
;silly
;simplistic
;simplistically
;sin
;sinful
;sinfully
;sinister
;sinisterly
;sink
;sinking
;skeletons
;skeptic
;skeptical
;skeptically
;skepticism
;sketchy
;skimpy
;skinny
;skittish
;skittishly
;skulk
;slack
;slander
;slanderer
;slanderous
;slanderously
;slanders
;slap
;slashing
;slaughter
;slaughtered
;slave
;slaves
;sleazy
;slime
;slog
;slogged
;slogging
;slogs
;sloppily
;sloppy
;sloth
;slothful
;slow
;slowed
;slower
;slowest
;slowly
;slow-moving
;slug
;sluggish
;slump
;slumping
;slumpping
;slur
;slut
;sluts
;sly
;smack
;smallish
;smash
;smear
;smell
;smelled
;smelling
;smells
;smelly
;smelt
;smoke
;smokescreen
;smolder
;smoldering
;smother
;smouldering
;smudge
;smudged
;smudges
;smudging
;snag
;snagged
;snagging
;snags
;snappish
;snappishly
;snare
;snarky
;snarl
;sneer
;sneering
;sneeringly
;snob
;snobbish
;snobby
;snobish
;snobs
;snub
;sob
;sober
;sobering
;solemn
;somber
;sore
;sorely
;soreness
;sorrow
;sorrowful
;sorrowfully
;sorry
;sour
;sourly
;spiritless
;spite
;spiteful
;spitefully
;spitefulness
;spoil
;spoilage
;spoilages
;spoiled
;spoilled
;spoils
;spook
;spookier
;spookiest
;spookily
;spooky
;sporadic
;spotty
;spurious
;spurn
;sputter
;squabble
;squabbling
;squander
;squash
;squeak
;squeaks
;squeaky
;squeal
;squealing
;squeals
;squirm
;stab
;stagnation
;staid
;stain
;stains
;stale
;stalemate
;stall
;stalls
;stammer
;stampede
;standstill
;stark
;starkly
;startle
;startling
;startlingly
;starvation
;starve
;static
;steal
;stealing
;steals
;steep
;steeply
;stench
;stereotype
;stereotypical
;stereotypically
;stern
;stew
;sticky
;stiff
;stiffness
;stifle
;stifling
;stiflingly
;stigma
;stigmatize
;sting
;stinging
;stingingly
;stingy
;stink
;stinks
;stodgy
;stole
;stolen
;stooge
;stooges
;stormy
;straggle
;straggler
;strain
;strained
;straining
;strange
;strangely
;stranger
;strangest
;strangle
;streaky
;strenuous
;stress
;stresses
;stressful
;stressfully
;stricken
;strict
;strictly
;strident
;stridently
;strife
;strike
;stringent
;stringently
;struck
;struggle
;struggled
;struggles
;struggling
;strut
;stuck
;stuffy
;stumble
;stumbled
;stumbles
;stump
;stumped
;stumps
;stun
;stunt
;stunted
;stupid
;stupidest
;stupidity
;stupidly
;stupified
;stupify
;stupor
;stutter
;stuttered
;stuttering
;stutters
;subdued
;subjected
;subjection
;subjugate
;subjugation
;submissive
;subordinate
;sub-par
;subpoena
;subpoenas
;subservience
;subservient
;substandard
;subtract
;subversion
;subversive
;subversively
;subvert
;succumb
;suck
;sucked
;sucker
;sucks
;sucky
;sue
;sued
;sueing
;sues
;suffer
;suffered
;sufferer
;sufferers
;suffering
;suffers
;suffocate
;suicidal
;suicide
;sulk
;sullen
;sully
;sunder
;sunk
;sunken
;superficial
;superficiality
;superficially
;superfluous
;superstition
;superstitious
;suppress
;suppression
;surrender
;susceptible
;suspect
;suspicion
;suspicions
;suspicious
;suspiciously
;swagger
;swamped
;sweaty
;swelled
;swelling
;swindle
;swipe
;swollen
;symptom
;symptoms
;syndrome
;taboo
;tacky
;taint
;tainted
;tamper
;tangle
;tangled
;tangles
;tantrum
;tardy
;tarnish
;tarnished
;tarnishes
;tarnishing
;tattered
;taunt
;taunting
;tauntingly
;taunts
;taut
;tawdry
;taxing
;tease
;teasingly
;tedious
;tediously
;temerity
;temper
;tempest
;temptation
;tenderness
;tense
;tension
;tentative
;tentatively
;tenuous
;tenuously
;terrible
;terribleness
;terribly
;terror
;terror-genic
;terrorism
;terrorize
;testily
;testy
;thankless
;thirst
;thorny
;thoughtless
;thoughtlessly
;thoughtlessness
;thrash
;threat
;threaten
;threatening
;threats
;threesome
;throb
;throbbed
;throbbing
;throbs
;throttle
;thug
;thumb-down
;thumbs-down
;time-consuming
;timid
;timidity
;timidly
;timidness
;tingled
;tingling
;tired
;tiresome
;tiring
;tiringly
;toil
;toll
;top-heavy
;topple
;torment
;tormented
;torrent
;tortuous
;torture
;tortured
;tortures
;torturing
;torturous
;torturously
;totalitarian
;touchy
;toughness
;touts
;toxic
;traduce
;tragedy
;tragic
;tragically
;traitorous
;traitorously
;tramp
;trample
;transgress
;transgression
;trap
;traped
;trapped
;trash
;trashed
;trashy
;trauma
;traumatic
;traumatically
;traumatize
;traumatized
;travesties
;travesty
;treacherous
;treacherously
;treachery
;treason
;treasonous
;trick
;tricked
;trickery
;tricky
;trivial
;trivialize
;trouble
;troubled
;troublemaker
;troubles
;troublesome
;troublesomely
;troubling
;troublingly
;tumble
;tumbled
;tumbles
;tumultuous
;turbulent
;turmoil
;twist
;twisted
;twists
;two-faced
;tyrannical
;tyrannically
;tyranny
;tyrant
;ugh
;uglier
;ugliest
;ugliness
;ugly
;ulterior
;ultimatum
;ultimatums
;ultra-hardline
;unable
;unacceptable
;unacceptablely
;unacceptably
;unaccessible
;unaccustomed
;unachievable
;unaffordable
;unappealing
;unattractive
;unauthentic
;unavailable
;unavoidably
;unbearable
;unbearablely
;unbelievable
;unbelievably
;uncaring
;uncertain
;uncivil
;uncivilized
;unclean
;unclear
;uncollectible
;uncomfortable
;uncomfortably
;uncomfy
;uncompetitive
;uncompromising
;uncompromisingly
;unconfirmed
;unconstitutional
;uncontrolled
;unconvincing
;unconvincingly
;uncooperative
;uncouth
;uncreative
;undecided
;undefined
;undependability
;undependable
;undercut
;undercuts
;undercutting
;underdog
;underestimate
;underlings
;undermine
;undermined
;undermines
;undermining
;underpaid
;underpowered
;undersized
;undesirable
;undetermined
;undid
;undignified
;undissolved
;undocumented
;undone
;undue
;unease
;uneasily
;uneasiness
;uneasy
;uneconomical
;unemployed
;unequal
;unethical
;uneven
;uneventful
;unexpected
;unexpectedly
;unexplained
;unfairly
;unfaithful
;unfaithfully
;unfamiliar
;unfavorable
;unfeeling
;unfinished
;unfit
;unforeseen
;unforgiving
;unfortunate
;unfortunately
;unfounded
;unfriendly
;unfulfilled
;unfunded
;ungovernable
;ungrateful
;unhappily
;unhappiness
;unhappy
;unhealthy
;unhelpful
;unilateralism
;unimaginable
;unimaginably
;unimportant
;uninformed
;uninsured
;unintelligible
;unintelligile
;unipolar
;unjust
;unjustifiable
;unjustifiably
;unjustified
;unjustly
;unkind
;unkindly
;unknown
;unlamentable
;unlamentably
;unlawful
;unlawfully
;unlawfulness
;unleash
;unlicensed
;unlikely
;unlucky
;unmoved
;unnatural
;unnaturally
;unnecessary
;unneeded
;unnerve
;unnerved
;unnerving
;unnervingly
;unnoticed
;unobserved
;unorthodox
;unorthodoxy
;unpleasant
;unpleasantries
;unpopular
;unpredictable
;unprepared
;unproductive
;unprofitable
;unprove
;unproved
;unproven
;unproves
;unproving
;unqualified
;unravel
;unraveled
;unreachable
;unreadable
;unrealistic
;unreasonable
;unreasonably
;unrelenting
;unrelentingly
;unreliability
;unreliable
;unresolved
;unresponsive
;unsafe
;unsavory
;unsecure
;unseemly
;unsettle
;unsettled
;unsettling
;unsettlingly
;unskilled
;unsound
;unspeakable
;unspeakablely
;unstable
;unsteadily
;unsteadiness
;unsteady
;unsuccessful
;unsuccessfully
;unsupported
;unsupportive
;unsure
;unsuspecting
;unsustainable
;unthinkable
;unthinkably
;untimely
;untouched
;untrue
;untrustworthy
;untruthful
;unusable
;unusably
;unuseable
;unuseably
;unusual
;unusually
;unviewable
;unwanted
;unwarranted
;unwatchable
;unwelcome
;unwell
;unwieldy
;unwilling
;unwillingly
;unwillingness
;unwise
;unwisely
;unworkable
;unworthy
;unyielding
;upbraid
;upheaval
;uprising
;uproar
;uproarious
;uproariously
;uproarous
;uproarously
;uproot
;upset
;upseting
;upsets
;upsetting
;upsettingly
;urgent
;useless
;utterly
;vagrant
;vague
;vagueness
;vanity
;vehement
;vehemently
;vengeance
;vengeful
;vengefully
;vengefulness
;venom
;venomous
;venomously
;vent
;vestiges
;vex
;vexation
;vexing
;vexingly
;vice
;vicious
;viciously
;viciousness
;victimize
;vile
;vileness
;vilify
;villainous
;villainously
;villains
;villian
;villianous
;villianously
;villify
;vindictive
;vindictively
;vindictiveness
;violate
;violation
;violator
;violators
;violent
;violently
;viper
;virulence
;virulent
;virulently
;virus
;volatile
;volatility
;vomit
;vomited
;vomiting
;vomits
;vulgar
;vulnerable
;wack
;wail
;wallow
;wane
;waning
;wanton
;warily
;wariness
;warlike
;war-like
;warned
;warning
;warp
;warped
;wary
;washed-out
;waste
;wasted
;wasteful
;wastefulness
;wasting
;wayward
;weak
;weaken
;weakening
;weaker
;weakness
;weaknesses
;weariness
;wearisome
;weary
;wedge
;weep
;weird
;weirdly
;wheedle
;whimper
;whine
;whining
;whiny
;whips
;whore
;whores
;wicked
;wickedly
;wickedness
;wild
;wildly
;wiles
;wilt
;wily
;wince
;wobble
;wobbled
;wobbles
;woe
;woebegone
;woeful
;woefully
;womanizer
;womanizing
;worn
;worried
;worriedly
;worrier
;worries
;worrisome
;worry
;worrying
;worryingly
;worse
;worsen
;worsening
;worst
;worthless
;worthlessly
;worthlessness
;wound
;wounds
;wrath
;wreak
;wreaked
;wreaks
;wreck
;wrest
;wrestle
;wretch
;wretched
;wretchedly
;wretchedness
;wrinkle
;wrinkled
;wrinkles
;wripped
;wripping
;writhe
;wrong
;wrongful
;wrongly
;wrought
;yawn
;zapped
;zaps
;zealot
;zealous
;zealously
;zombie
verminkt;
vragen;
